"endpoint","domain","source_test","data_type","endpoint_type","comparison","dataset_a","dataset_b","treatment","exposure","n_a","n_b","mean_difference_b_minus_a","median_difference_b_minus_a","hedges_g","rank_biserial","cliffs_delta","risk_difference_b_minus_a","odds_ratio_b_vs_a","feasibility_note"
"mtpc","LDT transition behavior","LDT","continuous derived","continuous_or_derived","BT1_vs_BT2","BT1","BT2","1","1h",16,16,34.147489007785,2.06992255056772,0.388347507268356,0.21875,0.21875,NA,NA,"tested"
"mtpc","LDT transition behavior","LDT","continuous derived","continuous_or_derived","BT1_vs_BT2","BT1","BT2","1","24h",14,12,3.28541508502504,1.87634952766531,0.0651536098872729,0.142857142857143,0.142857142857143,NA,NA,"tested"
"mtpc","LDT transition behavior","LDT","continuous derived","continuous_or_derived","BT1_vs_BT2","BT1","BT2","1","96h",14,15,37.1976905314103,11.8833333333333,0.169572334429343,0.2,0.2,NA,NA,"tested"
"num_changes","LDT transition behavior","LDT","count","count_or_discrete","BT1_vs_BT2","BT1","BT2","0","1h",14,16,-9.13392857142857,-12,-0.55671032233399,-0.316964285714286,-0.316964285714286,NA,NA,"tested"
"num_changes","LDT transition behavior","LDT","count","count_or_discrete","BT1_vs_BT2","BT1","BT2","0","24h",15,16,-3.80833333333333,-3.5,-0.354266839494248,-0.204166666666667,-0.204166666666667,NA,NA,"tested"
"num_changes","LDT transition behavior","LDT","count","count_or_discrete","BT1_vs_BT2","BT1","BT2","0","96h",16,16,7.1875,3.5,0.612635709395521,0.3203125,0.3203125,NA,NA,"tested"
"num_changes","LDT transition behavior","LDT","count","count_or_discrete","BT1_vs_BT2","BT1","BT2","0.5","1h",16,16,1.0625,0,0.0541082476069592,0.0390625,0.0390625,NA,NA,"tested"
"num_changes","LDT transition behavior","LDT","count","count_or_discrete","BT1_vs_BT2","BT1","BT2","0.5","24h",15,15,-14.4666666666667,-24,-1.20141829458552,-0.546666666666667,-0.546666666666667,NA,NA,"tested"
"num_changes","LDT transition behavior","LDT","count","count_or_discrete","BT1_vs_BT2","BT1","BT2","0.5","96h",16,16,-3.6875,-9,-0.236487229186893,-0.14453125,-0.14453125,NA,NA,"tested"
"num_changes","LDT transition behavior","LDT","count","count_or_discrete","BT1_vs_BT2","BT1","BT2","1","1h",16,16,5.4375,10.5,0.176511800204605,0.0546875,0.0546875,NA,NA,"tested"
"num_changes","LDT transition behavior","LDT","count","count_or_discrete","BT1_vs_BT2","BT1","BT2","1","24h",14,12,1.86904761904762,-4,0.106987932591787,-0.0654761904761905,-0.0654761904761905,NA,NA,"tested"
"num_changes","LDT transition behavior","LDT","count","count_or_discrete","BT1_vs_BT2","BT1","BT2","1","96h",14,15,-2.5047619047619,-2,-0.215111027040634,-0.152380952380952,-0.152380952380952,NA,NA,"tested"
"resistance_index","endurance","RN","continuous derived","continuous_or_derived","BT1_vs_BT3","BT1","BT3","0","1h",14,16,-13.2397321428571,-16.6666666666667,-0.869581397624405,-0.464285714285714,-0.464285714285714,NA,NA,"tested"
"resistance_index","endurance","RN","continuous derived","continuous_or_derived","BT1_vs_BT3","BT1","BT3","0","24h",15,15,-16.58,-21.3833333333333,-0.832195806890558,-0.511111111111111,-0.511111111111111,NA,NA,"tested"
"resistance_index","endurance","RN","continuous derived","continuous_or_derived","BT1_vs_BT3","BT1","BT3","0","96h",16,16,-6.13958333333334,-9.3333333333333,-0.36759486600558,-0.1953125,-0.1953125,NA,NA,"tested"
"resistance_index","endurance","RN","continuous derived","continuous_or_derived","BT1_vs_BT3","BT1","BT3","0.5","1h",16,16,-16.81875,-17.525,-1.3780414967345,-0.6875,-0.6875,NA,NA,"tested"
"resistance_index","endurance","RN","continuous derived","continuous_or_derived","BT1_vs_BT3","BT1","BT3","0.5","24h",15,14,-19.8323015873016,-25.65,-1.68496032067037,-0.752380952380952,-0.752380952380952,NA,NA,"tested"
"resistance_index","endurance","RN","continuous derived","continuous_or_derived","BT1_vs_BT3","BT1","BT3","0.5","96h",16,16,-14.8197916666667,-24.0333333333333,-1.15769509599937,-0.57421875,-0.57421875,NA,NA,"tested"
"resistance_index","endurance","RN","continuous derived","continuous_or_derived","BT1_vs_BT3","BT1","BT3","1","1h",16,15,-18.9792361111111,-27.7166666666667,-1.52932662955372,-0.666666666666667,-0.666666666666667,NA,NA,"tested"
"resistance_index","endurance","RN","continuous derived","continuous_or_derived","BT1_vs_BT3","BT1","BT3","1","24h",14,12,-4.71428571428571,0.799999999999999,-0.383737652347848,-0.0952380952380952,-0.0952380952380952,NA,NA,"tested"
