"battery","treatment","exposure","variable","resolved_variable","n_total","n_nonmissing","n_missing","mean","sd","median","iqr","min","max"
"BT2","1","1h","length","lt",16,16,0,2.96875,0.296015202312314,2.9,0.325000000000001,2.6,3.6
"BT3","1","1h","length","lt",15,15,0,3.32666666666667,0.334806269498106,3.3,0.35,2.5,3.8
"BT1","0","24h","length","lt",15,15,0,3.64666666666667,0.226358333705864,3.6,0.2,3.3,4.1
"BT2","0","24h","length","lt",16,16,0,2.85625,0.236555138040444,2.85,0.325,2.6,3.3
"BT3","0","24h","length","lt",15,15,0,3.29333333333333,0.260402618668714,3.4,0.4,2.9,3.7
"BT1","0.5","24h","length","lt",15,15,0,3.75333333333333,0.235634907269296,3.7,0.35,3.5,4.3
"BT2","0.5","24h","length","lt",15,15,0,2.88666666666667,0.354293394694016,2.8,0.4,2.3,3.6
"BT3","0.5","24h","length","lt",14,14,0,3.18571428571429,0.241333292858151,3.2,0.4,2.8,3.5
"BT1","1","24h","length","lt",14,14,0,2.93571428571429,0.0633323693776651,2.9,0.1,2.8,3
"BT2","1","24h","length","lt",12,12,0,3.48333333333333,0.291807325390428,3.45,0.450000000000001,3,3.9
"BT3","1","24h","length","lt",12,12,0,3.39166666666667,0.293747985163948,3.4,0.425,3,4
"BT1","0","96h","length","lt",16,16,0,3.2375,0.275378527364305,3.15,0.325,2.9,3.8
"BT2","0","96h","length","lt",16,16,0,2.93125,0.286865241300975,2.9,0.225000000000001,2.4,3.6
"BT3","0","96h","length","lt",16,16,0,3.16875,0.422245978863821,3.05,0.35,2.5,4.2
"BT1","0.5","96h","length","lt",16,16,0,3.08125,0.200727842280703,3.1,0.3,2.8,3.5
"BT2","0.5","96h","length","lt",16,16,0,3,0.203306009093025,3,0.175,2.7,3.3
"BT3","0.5","96h","length","lt",16,16,0,3.2125,0.257875939164553,3.25,0.4,2.7,3.6
"BT1","1","96h","length","lt",14,14,0,3.19285714285714,0.281381989785814,3.1,0.375,2.9,3.7
"BT2","1","96h","length","lt",16,15,1,2.9,0.3,2.9,0.2,2.6,3.7
"BT3","1","96h","length","lt",15,15,0,3.38666666666667,0.362267988149788,3.4,0.399999999999999,2.8,4.3
"BT1","0","1h","mov_total","mov_total",14,14,0,344.857142857143,157.51427634582,432.5,178.75,54,454
"BT2","0","1h","mov_total","mov_total",16,16,0,410.125,21.4720748880959,408,30.25,375,442
"BT3","0","1h","mov_total","mov_total",16,0,16,NA,NA,NA,NA,NA,NA
"BT1","0.5","1h","mov_total","mov_total",16,16,0,338.75,174.616723139566,434,107.25,0,455
"BT2","0.5","1h","mov_total","mov_total",16,16,0,341,138.294854085995,401.5,42,17,444
"BT3","0.5","1h","mov_total","mov_total",16,0,16,NA,NA,NA,NA,NA,NA
"BT1","1","1h","mov_total","mov_total",16,16,0,380.6875,135.680368882164,438.5,24.75,0,456
"BT2","1","1h","mov_total","mov_total",16,16,0,273.4375,141.867529171877,295.5,247,18,437
"BT3","1","1h","mov_total","mov_total",15,0,15,NA,NA,NA,NA,NA,NA
"BT1","0","24h","mov_total","mov_total",15,15,0,406.4,80.5355289829987,424,37.5,131,465
"BT2","0","24h","mov_total","mov_total",16,16,0,358.875,79.0905599086684,390,78.25,115,429
"BT3","0","24h","mov_total","mov_total",15,0,15,NA,NA,NA,NA,NA,NA
"BT1","0.5","24h","mov_total","mov_total",15,15,0,434.733333333333,15.1679486637669,435,23.5,409,457
"BT2","0.5","24h","mov_total","mov_total",15,15,0,377.6,114.596684070701,422,74.5,0,443
"BT3","0.5","24h","mov_total","mov_total",14,0,14,NA,NA,NA,NA,NA,NA
"BT1","1","24h","mov_total","mov_total",14,14,0,364.714285714286,44.5877329998502,372.5,23.75,242,421
"BT2","1","24h","mov_total","mov_total",12,12,0,270.416666666667,153.465695505444,327.5,286.25,19,417
"BT3","1","24h","mov_total","mov_total",12,0,12,NA,NA,NA,NA,NA,NA
"BT1","0","96h","mov_total","mov_total",16,16,0,382.25,96.2583329726142,421,44.25,44,439
"BT2","0","96h","mov_total","mov_total",16,16,0,379.0625,47.0183917915816,389,35,239,427
"BT3","0","96h","mov_total","mov_total",16,0,16,NA,NA,NA,NA,NA,NA
"BT1","0.5","96h","mov_total","mov_total",16,16,0,427.75,16.0893339410513,429.5,17,399,453
"BT2","0.5","96h","mov_total","mov_total",16,16,0,413.0625,23.0722596783815,419.5,25.75,367,445
"BT3","0.5","96h","mov_total","mov_total",16,0,16,NA,NA,NA,NA,NA,NA
"BT1","1","96h","mov_total","mov_total",14,14,0,368.714285714286,57.8983573188375,389.5,41.25,245,427
"BT2","1","96h","mov_total","mov_total",16,16,0,380.25,104.995555461489,407,22.25,0,458
"BT3","1","96h","mov_total","mov_total",15,0,15,NA,NA,NA,NA,NA,NA
"BT1","0","1h","mtpc","mtpc",14,14,0,8.5555804234467,15.3678242480366,3.72727272727273,2.03218355718356,0,60.1428571428571
"BT2","0","1h","mtpc","mtpc",16,16,0,46.6678658709861,118.506002279066,6.9,21.1347222222223,3,480
"BT3","0","1h","mtpc","mtpc",16,0,16,NA,NA,NA,NA,NA,NA
"BT1","0.5","1h","mtpc","mtpc",16,16,0,14.5509548073878,39.8925180249284,4.715,1.53008130081301,0,163.666666666667
