endpoint,component,loading,abs_loading,domain,pca_role
mov_total,PC7,0.03999165929077828,0.03999165929077828,NTT locomotion,fixed_full_battery_endpoint
resistance_index,PC7,0.027354786617140914,0.027354786617140914,Endurance,fixed_full_battery_endpoint
attempts,PC8,-0.5786860469490542,0.5786860469490542,Endurance,fixed_full_battery_endpoint
resistance_index,PC8,-0.4594212398213723,0.4594212398213723,Endurance,fixed_full_battery_endpoint
num_changes,PC8,0.3314745915636826,0.3314745915636826,LDT transition behavior,fixed_full_battery_endpoint
latency,PC8,0.26851023938261304,0.26851023938261304,LDT decision latency,fixed_full_battery_endpoint
time_bright,PC8,0.24778444333539204,0.24778444333539204,LDT phototaxis,fixed_full_battery_endpoint
blood_sugar,PC8,-0.24103142112067003,0.24103142112067003,Physiology,conditional_supportive_physiology
first_choice_binary,PC8,-0.23210454366524622,0.23210454366524622,LDT first choice,fixed_full_battery_endpoint
mtpc,PC8,0.23004998278340336,0.23004998278340336,LDT transition behavior,fixed_full_battery_endpoint
vel_mean,PC8,0.12832749012250338,0.12832749012250338,NTT locomotion,fixed_full_battery_endpoint
mov_total,PC8,-0.12737223585745233,0.12737223585745233,NTT locomotion,fixed_full_battery_endpoint
stratum_pref,PC8,-0.0948988726600903,0.0948988726600903,NTT spatial position,fixed_full_battery_endpoint
condition_factor,PC8,-0.056171041953076574,0.056171041953076574,Biometry / condition,conditional_condition_factor
dist_total,PC8,0.030659854728254516,0.030659854728254516,NTT locomotion,fixed_full_battery_endpoint
stratum_pref,PC9,-0.6315516955612613,0.6315516955612613,NTT spatial position,fixed_full_battery_endpoint
condition_factor,PC9,-0.4793025318211773,0.4793025318211773,Biometry / condition,conditional_condition_factor
blood_sugar,PC9,0.31692414109092376,0.31692414109092376,Physiology,conditional_supportive_physiology
num_changes,PC9,-0.22418669615817027,0.22418669615817027,LDT transition behavior,fixed_full_battery_endpoint
mtpc,PC9,0.21584455620212326,0.21584455620212326,LDT transition behavior,fixed_full_battery_endpoint
latency,PC9,-0.21132569746126648,0.21132569746126648,LDT decision latency,fixed_full_battery_endpoint
mov_total,PC9,0.19449647362652694,0.19449647362652694,NTT locomotion,fixed_full_battery_endpoint
first_choice_binary,PC9,-0.14790978585267187,0.14790978585267187,LDT first choice,fixed_full_battery_endpoint
time_bright,PC9,-0.1388754064876282,0.1388754064876282,LDT phototaxis,fixed_full_battery_endpoint
dist_total,PC9,0.13556103987739035,0.13556103987739035,NTT locomotion,fixed_full_battery_endpoint
attempts,PC9,-0.12854661943588616,0.12854661943588616,Endurance,fixed_full_battery_endpoint
vel_mean,PC9,0.12475068890273959,0.12475068890273959,NTT locomotion,fixed_full_battery_endpoint
resistance_index,PC9,-0.0026842539753162923,0.0026842539753162923,Endurance,fixed_full_battery_endpoint
