fish_id,dist_total,mov_total,vel_mean,stratum_pref,time_bright,first_choice_binary,latency,mtpc,num_changes,resistance_index,attempts,blood_sugar,condition_factor
1BT24h01003,3548.35,358,9.91159217877095,1.39664804469274,246,1,0,10.25,24,24.2666666666667,1,405,1.73611111111111
1BT24h01005,4525.28,384,11.7845833333333,11.1979166666667,201,1,0,6.93103448275862,29,2.36666666666667,1,179,1.28
1BT24h01007,2761.66,352,7.845625,0,316,1,10,8.1025641025641,39,1.56666666666667,1,212,1.72598011013397
1BT24h01008,4184.23,368,11.3701902173913,26.3586956521739,150,1,10,7.89473684210526,19,30.9333333333333,1,196,1.56160105202597
1BT24h01009,6566.12,379,17.3248548812665,24.802110817942,226,1,0,5.51219512195122,41,36.3,2,305,1.64379058107997
1BT24h01010,4377.22,421,10.3971971496437,41.3301662707838,288,1,0,9.93103448275862,29,1.93333333333333,2,160,1.22974537037037
1BT24h01011,6417.18,384,16.71140625,48.4375,204,1,0,6.375,32,42.15,1,256,1.30208333333333
1BT24h01012,4084.55,374,10.921256684492,78.0748663101604,393,1,4,21.8333333333333,18,30.4,2,200,1.51909722222222
1BT24h01013,5177.19,400,12.942975,46,153,1,10,5.66666666666667,27,7.86666666666667,3,150,1.59143518518519
1BT24h01014,5786.01,402,14.3930597014925,48.0099502487562,302,1,0,8.38888888888889,36,4.05,1,115,1.59143518518519
1BT96hCTR02,622.36,44,14.1445454545455,52.2727272727273,342,0,93,22.8,15,37.65,1,90,1.39407109762598
1BT96hCTR04,5722.92,421,13.5936342042755,35.8669833729216,82,0,0,3.28,25,28.8,1,369,2.13692775540396
1BT96hCTR05,8323.07,366,22.7406284153005,32.2404371584699,461,1,0,115.25,4,7.73333333333333,1,121,1.57765768185022
1BT96hCTR06,5070.77,421,12.0445843230404,57.957244655582,291,1,0,12.6521739130435,23,46.1666666666667,1,369,1.62576842960931
1BT96hCTR07,5595.45,428,13.0734813084112,53.7383177570093,107,0,0,4.28,25,38.1,1,219,1.4792899408284
1BT96hCTR09,4512.86,428,10.5440654205607,73.8317757009346,14,0,0,2.33333333333333,6,34.5333333333333,1,131,1.4792899408284
1BT96hCTR11,5323.17,439,12.1256719817768,43.9635535307517,356,0,9,59.3333333333333,6,19.2,1,145,1.37174211248285
1BT96hCTR12,6809.91,377,18.0634217506631,40.8488063660477,244,1,0,7.39393939393939,33,8.06666666666667,1,399,1.6765736930346
1BT96h00501,6717.42,453,14.8287417218543,45.6953642384106,345,1,0,10.4545454545455,33,31.0666666666667,1,366,1.4792899408284
1BT96h00502,3917.92,399,9.81934837092732,99.2481203007519,360,1,18,16.3636363636364,22,36.45,2,391,1.44675925925926
1BT96h00507,5981.17,437,13.6868878718535,75.7437070938215,282,1,0,6,47,19.4,1,343,1.1480585509861
1BT96h00508,4539.41,422,10.7568957345972,48.3412322274881,332,1,0,22.1333333333333,15,33.3333333333333,1,431,1.97220135236664
