variable,component,loading,planned_variable,domain,abs_loading
first_choice_binary,PC8,-0.23210454366524622,first_choice_binary,LDT first choice,0.23210454366524622
mtpc,PC8,0.23004998278340336,mtpc,LDT transition behavior,0.23004998278340336
vel_mean,PC8,0.12832749012250338,vel_mean,NTT locomotion,0.12832749012250338
mov_total,PC8,-0.12737223585745233,mov_total,NTT locomotion,0.12737223585745233
stratum_pref,PC8,-0.0948988726600903,stratum_pref,NTT spatial position,0.0948988726600903
Kc,PC8,-0.056171041953076574,condition_factor,Biometry/condition,0.056171041953076574
dist_total,PC8,0.030659854728254516,dist_total,NTT locomotion,0.030659854728254516
stratum_pref,PC9,-0.6315516955612613,stratum_pref,NTT spatial position,0.6315516955612613
Kc,PC9,-0.4793025318211773,condition_factor,Biometry/condition,0.4793025318211773
blood_sugar,PC9,0.31692414109092376,blood_sugar,Physiology,0.31692414109092376
num_changes,PC9,-0.22418669615817027,num_changes,LDT transition behavior,0.22418669615817027
mtpc,PC9,0.21584455620212326,mtpc,LDT transition behavior,0.21584455620212326
latency,PC9,-0.21132569746126648,latency,LDT decision latency,0.21132569746126648
mov_total,PC9,0.19449647362652694,mov_total,NTT locomotion,0.19449647362652694
first_choice_binary,PC9,-0.14790978585267187,first_choice_binary,LDT first choice,0.14790978585267187
time_bright,PC9,-0.1388754064876282,time_bright,LDT phototaxis,0.1388754064876282
dist_total,PC9,0.13556103987739035,dist_total,NTT locomotion,0.13556103987739035
attempts,PC9,-0.12854661943588616,attempts,Endurance,0.12854661943588616
vel_mean,PC9,0.12475068890273959,vel_mean,NTT locomotion,0.12475068890273959
resistance_index,PC9,-0.0026842539753162923,resistance_index,Endurance,0.0026842539753162923
