"endpoint","domain","source_test","data_type","endpoint_type","comparison","dataset_a","dataset_b","treatment","exposure","statistic","estimate","ci_low","ci_high","bootstrap_R_requested","bootstrap_R_valid"
"last_flux","endurance","RN","ordinal/step","count_or_discrete","BT1_vs_BT3","BT1","BT3","0","24h","median_difference_b_minus_a",-2,-5,-1,2000,2000
"last_flux","endurance","RN","ordinal/step","count_or_discrete","BT1_vs_BT3","BT1","BT3","0","24h","hedges_g",-0.738766083204183,-1.83569570497799,-0.0539827249773738,2000,2000
"last_flux","endurance","RN","ordinal/step","count_or_discrete","BT1_vs_BT3","BT1","BT3","0","24h","cliffs_delta",-0.502222222222222,-0.857777777777778,-0.0710000000000006,2000,2000
"last_flux","endurance","RN","ordinal/step","count_or_discrete","BT1_vs_BT3","BT1","BT3","0","96h","mean_difference_b_minus_a",-0.9375,-2.625,0.75,2000,2000
"last_flux","endurance","RN","ordinal/step","count_or_discrete","BT1_vs_BT3","BT1","BT3","0","96h","median_difference_b_minus_a",-1,-3.5,2,2000,2000
"last_flux","endurance","RN","ordinal/step","count_or_discrete","BT1_vs_BT3","BT1","BT3","0","96h","hedges_g",-0.358275351541285,-1.08417015737737,0.348824316039572,2000,2000
"last_flux","endurance","RN","ordinal/step","count_or_discrete","BT1_vs_BT3","BT1","BT3","0","96h","cliffs_delta",-0.21484375,-0.59384765625,0.16796875,2000,2000
"last_flux","endurance","RN","ordinal/step","count_or_discrete","BT1_vs_BT3","BT1","BT3","0.5","1h","mean_difference_b_minus_a",-2.6875,-4.0625,-1.25,2000,2000
"last_flux","endurance","RN","ordinal/step","count_or_discrete","BT1_vs_BT3","BT1","BT3","0.5","1h","median_difference_b_minus_a",-2.5,-4.5,-1.5,2000,2000
"last_flux","endurance","RN","ordinal/step","count_or_discrete","BT1_vs_BT3","BT1","BT3","0.5","1h","hedges_g",-1.29942579805477,-2.42109375147659,-0.612249144636095,2000,2000
"last_flux","endurance","RN","ordinal/step","count_or_discrete","BT1_vs_BT3","BT1","BT3","0.5","1h","cliffs_delta",-0.6796875,-0.921875,-0.375,2000,2000
"last_flux","endurance","RN","ordinal/step","count_or_discrete","BT1_vs_BT3","BT1","BT3","0.5","24h","mean_difference_b_minus_a",-2.40952380952381,-3.71916666666667,-1.05226190476191,2000,2000
"last_flux","endurance","RN","ordinal/step","count_or_discrete","BT1_vs_BT3","BT1","BT3","0.5","24h","median_difference_b_minus_a",-3,-3,-2,2000,2000
"last_flux","endurance","RN","ordinal/step","count_or_discrete","BT1_vs_BT3","BT1","BT3","0.5","24h","hedges_g",-1.22523490872661,-2.97004429641309,-0.46677505336989,2000,2000
"last_flux","endurance","RN","ordinal/step","count_or_discrete","BT1_vs_BT3","BT1","BT3","0.5","24h","cliffs_delta",-0.752380952380952,-1,-0.419047619047619,2000,2000
"last_flux","endurance","RN","ordinal/step","count_or_discrete","BT1_vs_BT3","BT1","BT3","0.5","96h","mean_difference_b_minus_a",-2.5,-4.1890625,-0.75,2000,2000
"last_flux","endurance","RN","ordinal/step","count_or_discrete","BT1_vs_BT3","BT1","BT3","0.5","96h","median_difference_b_minus_a",-4,-6,0,2000,2000
"last_flux","endurance","RN","ordinal/step","count_or_discrete","BT1_vs_BT3","BT1","BT3","0.5","96h","hedges_g",-0.973492789755121,-2.01076798904688,-0.267326100979215,2000,2000
"last_flux","endurance","RN","ordinal/step","count_or_discrete","BT1_vs_BT3","BT1","BT3","0.5","96h","cliffs_delta",-0.55859375,-0.859375,-0.195214843750001,2000,2000
"last_flux","endurance","RN","ordinal/step","count_or_discrete","BT1_vs_BT3","BT1","BT3","1","1h","mean_difference_b_minus_a",-3.425,-5.02916666666667,-1.8290625,2000,2000
"last_flux","endurance","RN","ordinal/step","count_or_discrete","BT1_vs_BT3","BT1","BT3","1","1h","median_difference_b_minus_a",-5,-7,-2,2000,2000
"last_flux","endurance","RN","ordinal/step","count_or_discrete","BT1_vs_BT3","BT1","BT3","1","1h","hedges_g",-1.3611877051372,-2.62745968275149,-0.647708861111902,2000,2000
"last_flux","endurance","RN","ordinal/step","count_or_discrete","BT1_vs_BT3","BT1","BT3","1","1h","cliffs_delta",-0.658333333333333,-0.9209375,-0.308333333333333,2000,2000
"last_flux","endurance","RN","ordinal/step","count_or_discrete","BT1_vs_BT3","BT1","BT3","1","24h","mean_difference_b_minus_a",-0.535714285714286,-2.20267857142857,1.14315476190476,2000,2000
"last_flux","endurance","RN","ordinal/step","count_or_discrete","BT1_vs_BT3","BT1","BT3","1","24h","median_difference_b_minus_a",0,-4,3,2000,2000
"last_flux","endurance","RN","ordinal/step","count_or_discrete","BT1_vs_BT3","BT1","BT3","1","24h","hedges_g",-0.217453482151551,-0.939437028099308,0.643739417767432,2000,2000
"last_flux","endurance","RN","ordinal/step","count_or_discrete","BT1_vs_BT3","BT1","BT3","1","24h","cliffs_delta",-0.0476190476190476,-0.494047619047619,0.404761904761905,2000,2000
"last_flux","endurance","RN","ordinal/step","count_or_discrete","BT1_vs_BT3","BT1","BT3","1","96h","mean_difference_b_minus_a",-1.33333333333333,-2.56214285714286,-0.166666666666667,2000,2000
"last_flux","endurance","RN","ordinal/step","count_or_discrete","BT1_vs_BT3","BT1","BT3","1","96h","median_difference_b_minus_a",0,-3,1,2000,2000
"last_flux","endurance","RN","ordinal/step","count_or_discrete","BT1_vs_BT3","BT1","BT3","1","96h","hedges_g",-0.756035744853366,-1.53866094409398,-0.157282179976047,2000,2000
"last_flux","endurance","RN","ordinal/step","count_or_discrete","BT1_vs_BT3","BT1","BT3","1","96h","cliffs_delta",-0.347619047619048,-0.704761904761905,0.0619047619047619,2000,2000
"latency","LDT decision latency","LDT","continuous or censored","continuous_or_derived","BT1_vs_BT2","BT1","BT2","0","1h","mean_difference_b_minus_a",-25.1428571428571,-64,0.142857142857143,2000,2000
"latency","LDT decision latency","LDT","continuous or censored","continuous_or_derived","BT1_vs_BT2","BT1","BT2","0","1h","median_difference_b_minus_a",0,0,0,2000,2000
"latency","LDT decision latency","LDT","continuous or censored","continuous_or_derived","BT1_vs_BT2","BT1","BT2","0","1h","hedges_g",-0.508294341009183,-0.893672338177248,0.332333538355446,2000,1984
"latency","LDT decision latency","LDT","continuous or censored","continuous_or_derived","BT1_vs_BT2","BT1","BT2","0","1h","cliffs_delta",-0.165178571428571,-0.428571428571429,0.0625,2000,2000
"latency","LDT decision latency","LDT","continuous or censored","continuous_or_derived","BT1_vs_BT2","BT1","BT2","0","24h","mean_difference_b_minus_a",-13.6,-37.3333333333333,0,2000,2000
"latency","LDT decision latency","LDT","continuous or censored","continuous_or_derived","BT1_vs_BT2","BT1","BT2","0","24h","median_difference_b_minus_a",0,0,0,2000,2000
"latency","LDT decision latency","LDT","continuous or censored","continuous_or_derived","BT1_vs_BT2","BT1","BT2","0","24h","hedges_g",-0.435446500006773,-0.816595918342401,-0.361917458831335,2000,1941
"latency","LDT decision latency","LDT","continuous or censored","continuous_or_derived","BT1_vs_BT2","BT1","BT2","0","24h","cliffs_delta",-0.2,-0.4,0,2000,2000
