fish_id,battery_suite,group,date,start_time,treatment,exposure,latency,first_choice,num_changes,time_bright,mtpc,mov_bottom,mov_upper,mov_total,dist_bottom,dist_upper,dist_total,vel_bottom,vel_upper,vel_mean,attempts,last_flux,time_in_last_flux,resistance_index,lt,ls,wt,Kc,sex,blood_sugar,conductivity,pH
1BT24h01006,1,24h_1.0,2020-09-29,12:21:21,1.0,24,0,C,27,172,6.4,203,39,242,2526.11,839.26,3365.37,12.44,21.52,13.91,1,3,25,4.25,3,2.5,0.19,0.00122,m,,120,7.6
1BT24h01007,1,24h_1.0,2020-09-29,12:38:39,1.0,24,10,C,39,316,8.1,352,0,352,2761.66,0,2761.66,7.85,,7.85,1,2,17,1.57,3,2.3,0.21,0.00173,m,212,120,7.6
1BT24h01008,1,24h_1.0,2020-09-29,12:56:06,1.0,24,10,C,19,150,7.9,271,97,368,2774.71,1409.52,4184.23,10.24,14.53,11.37,1,8,22,30.93,2.9,2.3,0.19,0.00156,,196,120,7.6
1BT24h01009,1,24h_1.0,2020-09-29,13:13:07,1.0,24,0,C,41,226,5.5,285,94,379,4390.84,2175.28,6566.12,15.41,23.14,17.32,2,9,2,36.3,2.9,2.3,0.2,0.00164,m,305,120,7.6
1BT24h01010,1,24h_1.0,2020-09-29,13:29:43,1.0,24,0,C,29,288,9.9,247,174,421,2351.11,2026.11,4377.22,9.52,11.64,10.4,2,2,28,1.93,2.9,2.4,0.17,0.00123,f,160,120,7.6
1BT24h01011,1,24h_1.0,2020-09-29,13:46:45,1.0,24,0,C,32,204,6.4,198,186,384,2731.34,3685.84,6417.18,13.79,19.82,16.71,1,9,41,42.15,2.8,2.4,0.18,0.0013,f,256,120,7.6
1BT24h01012,1,24h_1.0,2020-09-29,14:03:48,1.0,24,4,C,18,393,21.8,82,292,374,1218.65,2865.9,4084.55,14.86,9.81,10.92,2,8,18,30.4,2.9,2.4,0.21,0.00152,f,200,120,7.6
1BT24h01013,1,24h_1.0,2020-09-29,14:20:37,1.0,24,10,C,27,153,5.7,216,184,400,2553.21,2623.98,5177.19,11.82,14.26,12.94,3,4,28,7.87,3,2.4,0.22,0.00159,m,150,120,7.6
1BT24h01014,1,24h_1.0,2020-09-29,14:38:37,1.0,24,0,C,36,302,8.4,209,193,402,3009.75,2776.26,5786.01,14.4,14.38,14.39,1,3,21,4.05,2.9,2.4,0.22,0.00159,m,115,120,7.6
1BT24h01015,1,24h_1.0,2020-09-29,14:55:25,1.0,24,,C,,,,189,109,298,1702,717.92,2419.92,9.01,6.59,8.12,1,3,54,5.7,2.8,2.3,0.21,0.00173,m,,120,7.6
