"source_row_index","fish_id","battery_suite","battery","group_raw","group","treatment","exposure","date_raw","start_time_raw","datetime_raw","datetime","datetime_parse_method","datetime_parse_failed_flag","first_choice_raw","first_choice","first_choice_clean","first_choice_binary","first_choice_valid_binary","no_choice_flag","first_choice_nonbinary_flag","date","start_time","latency","num_changes","time_bright","mtpc","mov_bottom","mov_upper","mov_total","dist_bottom","dist_upper","dist_total","vel_bottom","vel_upper","vel_mean","attempts","last_flux","time_in_last_flux","resistance_index","lt","ls","wt","Kc","sex","blood_sugar","conductivity","pH","sex_raw","stratum_pref","ldt_present_flag","ntt_present_flag","endurance_present_flag","first_choice_exclusion_reason","blood_sugar_missing_flag","sex_missing_flag","ldt_time_bright_gt_480_flag","ldt_time_bright_gt_600_flag","ntt_mov_total_gt_480_flag","zero_motion_flag","low_motion_flag","impossible_value_flag","tracking_failure_flag","missing_critical_field_flag","distance_outlier_flag","manual_review_flag","global_exclusion_flag","global_exclusion_reason"
316,"3BT01h01007",3,"BT3","01h_1.0","01h 1.0%",1,1,NA,NA,NA,NA,"failed","False",NA,NA,NA,NA,"False","False","False",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1,9,0.15,3.1,2.5,0.2,1.28,"male",NA,NA,NA,"m",NA,"False","False","True",NA,"True","False","False","False","False","False","False","False","False","False","False","False","False",NA
317,"3BT01h01008",3,"BT3","01h_1.0","01h 1.0%",1,1,NA,NA,NA,NA,"failed","False",NA,NA,NA,NA,"False","False","False",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1,14,0.233333333333333,3.5,2.5,0.31,1.984,"male",147,NA,NA,"m",NA,"False","False","True",NA,"False","False","False","False","False","False","False","False","False","False","False","False","False",NA
318,"3BT01h01009",3,"BT3","01h_1.0","01h 1.0%",1,1,NA,NA,NA,NA,"failed","False",NA,NA,NA,NA,"False","False","False",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1,59,0.983333333333333,3.1,2.6,0.31,1.7637687756031,"male",135,NA,NA,"m",NA,"False","False","True",NA,"False","False","False","False","False","False","False","False","False","False","False","False","False",NA
319,"3BT01h01010",3,"BT3","01h_1.0","01h 1.0%",1,1,NA,NA,NA,NA,"failed","False",NA,NA,NA,NA,"False","False","False",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1,14,0.233333333333333,3.3,2.8,0.29,1.32106413994169,"female",132,NA,NA,"f",NA,"False","False","True",NA,"False","False","False","False","False","False","False","False","False","False","False","False","False",NA
320,"3BT01h01011",3,"BT3","01h_1.0","01h 1.0%",1,1,NA,NA,NA,NA,"failed","False",NA,NA,NA,NA,"False","False","False",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,41,2.36666666666667,3.5,2.8,0.32,1.45772594752187,"female",198,NA,NA,"f",NA,"False","False","True",NA,"False","False","False","False","False","False","False","False","False","False","False","False","False",NA
321,"3BT01h01012",3,"BT3","01h_1.0","01h 1.0%",1,1,NA,NA,NA,NA,"failed","False",NA,NA,NA,NA,"False","False","False",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,5,7,10.5833333333333,3.2,2.6,0.26,1.4792899408284,"male",109,NA,NA,"m",NA,"False","False","True",NA,"False","False","False","False","False","False","False","False","False","False","False","False","False",NA
322,"3BT01h01013",3,"BT3","01h_1.0","01h 1.0%",1,1,NA,NA,NA,NA,"failed","False",NA,NA,NA,NA,"False","False","False",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1,14,0.233333333333333,3.2,2.6,0.25,1.42239417387346,"male",69,NA,NA,"m",NA,"False","False","True",NA,"False","False","False","False","False","False","False","False","False","False","False","False","False",NA
323,"3BT01h01014",3,"BT3","01h_1.0","01h 1.0%",1,1,NA,NA,NA,NA,"failed","False",NA,NA,NA,NA,"False","False","False",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,54,9.6,3.4,2.7,0.27,1.37174211248285,"",38,NA,NA,"",NA,"False","False","True",NA,"False","True","False","False","False","False","False","False","False","False","False","False","False",NA
325,"3BT01h01016",3,"BT3","01h_1.0","01h 1.0%",1,1,NA,NA,NA,NA,"failed","False",NA,NA,NA,NA,"False","False","False",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,11,3.55,2.5,1.9,0.11,1.60373232249599,"male",NA,NA,NA,"m",NA,"False","False","True",NA,"True","False","False","False","False","False","False","False","False","False","False","False","False",NA
326,"3BT24hCTR01",3,"BT3","24h_CTR","24h 0.0%",0,24,NA,NA,NA,NA,"failed","False",NA,NA,NA,NA,"False","False","False",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,7,41,25.7833333333333,3.1,2.6,0.43,2.44651797906236,"female",143,NA,NA,"f",NA,"False","False","True",NA,"False","False","False","False","False","False","False","False","False","False","False","False","False",NA
