"battery","treatment","exposure","variable","resolved_variable","n_nonmissing","n_zero","prop_zero"
"BT2","1","96h","time_bright","time_bright",15,0,0
"BT3","1","96h","time_bright","time_bright",0,0,NA
"BT1","0","1h","vel_mean","vel_mean",14,0,0
"BT2","0","1h","vel_mean","vel_mean",16,0,0
"BT3","0","1h","vel_mean","vel_mean",0,0,NA
"BT1","0.5","1h","vel_mean","vel_mean",16,3,0.1875
"BT2","0.5","1h","vel_mean","vel_mean",16,0,0
"BT3","0.5","1h","vel_mean","vel_mean",0,0,NA
"BT1","1","1h","vel_mean","vel_mean",16,1,0.0625
"BT2","1","1h","vel_mean","vel_mean",16,0,0
"BT3","1","1h","vel_mean","vel_mean",0,0,NA
"BT1","0","24h","vel_mean","vel_mean",15,0,0
"BT2","0","24h","vel_mean","vel_mean",16,0,0
"BT3","0","24h","vel_mean","vel_mean",0,0,NA
"BT1","0.5","24h","vel_mean","vel_mean",15,0,0
"BT2","0.5","24h","vel_mean","vel_mean",15,1,0.0666666666666667
"BT3","0.5","24h","vel_mean","vel_mean",0,0,NA
"BT1","1","24h","vel_mean","vel_mean",14,0,0
"BT2","1","24h","vel_mean","vel_mean",12,0,0
"BT3","1","24h","vel_mean","vel_mean",0,0,NA
"BT1","0","96h","vel_mean","vel_mean",16,0,0
"BT2","0","96h","vel_mean","vel_mean",16,0,0
"BT3","0","96h","vel_mean","vel_mean",0,0,NA
"BT1","0.5","96h","vel_mean","vel_mean",16,0,0
"BT2","0.5","96h","vel_mean","vel_mean",16,0,0
"BT3","0.5","96h","vel_mean","vel_mean",0,0,NA
"BT1","1","96h","vel_mean","vel_mean",14,0,0
"BT2","1","96h","vel_mean","vel_mean",16,1,0.0625
"BT3","1","96h","vel_mean","vel_mean",0,0,NA
