"battery","treatment","exposure","variable","resolved_variable","n","shapiro_w","shapiro_p","note"
"BT2","0.5","96h","latency","latency",16,0.322149500276701,9.7661343328477e-08,"Shapiro-Wilk run."
"BT3","0.5","96h","latency","latency",0,NA,NA,"n < 3; Shapiro-Wilk not run."
"BT1","1","96h","latency","latency",14,0.431445947422564,1.79906065656777e-06,"Shapiro-Wilk run."
"BT2","1","96h","latency","latency",16,0.3191448361111,9.31464730482499e-08,"Shapiro-Wilk run."
"BT3","1","96h","latency","latency",0,NA,NA,"n < 3; Shapiro-Wilk not run."
"BT1","0","1h","length","lt",14,0.933293174031197,0.33914663548419,"Shapiro-Wilk run."
"BT2","0","1h","length","lt",15,0.947005420881849,0.478582300085387,"Shapiro-Wilk run."
"BT3","0","1h","length","lt",16,0.956594355577824,0.600663123910338,"Shapiro-Wilk run."
"BT1","0.5","1h","length","lt",16,0.967901301742698,0.803572995391365,"Shapiro-Wilk run."
"BT2","0.5","1h","length","lt",16,0.948475857100628,0.465933876366647,"Shapiro-Wilk run."
"BT3","0.5","1h","length","lt",16,0.863822541205237,0.0219042915169308,"Shapiro-Wilk run."
"BT1","1","1h","length","lt",16,0.956254868576157,0.594675781088498,"Shapiro-Wilk run."
"BT2","1","1h","length","lt",16,0.920660892470095,0.172864148570524,"Shapiro-Wilk run."
"BT3","1","1h","length","lt",15,0.919755463800548,0.190986678913595,"Shapiro-Wilk run."
"BT1","0","24h","length","lt",15,0.891486267254199,0.0706249416310054,"Shapiro-Wilk run."
"BT2","0","24h","length","lt",16,0.891894831940213,0.0596889015574774,"Shapiro-Wilk run."
"BT3","0","24h","length","lt",15,0.891670035789281,0.0710792395355661,"Shapiro-Wilk run."
"BT1","0.5","24h","length","lt",15,0.90705514377277,0.122038861348883,"Shapiro-Wilk run."
"BT2","0.5","24h","length","lt",15,0.976393856327062,0.938908361511637,"Shapiro-Wilk run."
"BT3","0.5","24h","length","lt",14,0.919828603427014,0.218649969761881,"Shapiro-Wilk run."
"BT1","1","24h","length","lt",14,0.770954680328849,0.00223155178091352,"Shapiro-Wilk run."
"BT2","1","24h","length","lt",12,0.947446791588314,0.600009597031,"Shapiro-Wilk run."
"BT3","1","24h","length","lt",12,0.943396914305437,0.543289528158093,"Shapiro-Wilk run."
"BT1","0","96h","length","lt",16,0.877889150170012,0.0359807982131096,"Shapiro-Wilk run."
"BT2","0","96h","length","lt",16,0.934433770310098,0.286310968084501,"Shapiro-Wilk run."
"BT3","0","96h","length","lt",16,0.90887846720189,0.11162622122637,"Shapiro-Wilk run."
"BT1","0.5","96h","length","lt",16,0.942437181310299,0.379946795215589,"Shapiro-Wilk run."
"BT2","0.5","96h","length","lt",16,0.870831164854155,0.0280042940030298,"Shapiro-Wilk run."
"BT3","0.5","96h","length","lt",16,0.95724213177118,0.612150802897654,"Shapiro-Wilk run."
"BT1","1","96h","length","lt",14,0.873620560658063,0.0471865307724204,"Shapiro-Wilk run."
"BT2","1","96h","length","lt",15,0.800457656487092,0.00372634371316692,"Shapiro-Wilk run."
"BT3","1","96h","length","lt",15,0.946679372645455,0.473751439220899,"Shapiro-Wilk run."
"BT1","0","1h","mov_total","mov_total",14,0.665541176613822,0.000166119014341889,"Shapiro-Wilk run."
"BT2","0","1h","mov_total","mov_total",16,0.925737325517673,0.208518286921472,"Shapiro-Wilk run."
"BT3","0","1h","mov_total","mov_total",0,NA,NA,"n < 3; Shapiro-Wilk not run."
"BT1","0.5","1h","mov_total","mov_total",16,0.63833069100537,3.81076990505513e-05,"Shapiro-Wilk run."
"BT2","0.5","1h","mov_total","mov_total",16,0.637391801168952,3.72950185576313e-05,"Shapiro-Wilk run."
"BT3","0.5","1h","mov_total","mov_total",0,NA,NA,"n < 3; Shapiro-Wilk not run."
"BT1","1","1h","mov_total","mov_total",16,0.559691698793253,6.9076083896228e-06,"Shapiro-Wilk run."
"BT2","1","1h","mov_total","mov_total",16,0.893756738923821,0.0638939132743241,"Shapiro-Wilk run."
"BT3","1","1h","mov_total","mov_total",0,NA,NA,"n < 3; Shapiro-Wilk not run."
"BT1","0","24h","mov_total","mov_total",15,0.582370758778827,1.76226471709279e-05,"Shapiro-Wilk run."
"BT2","0","24h","mov_total","mov_total",16,0.756970178267367,0.000771729855138232,"Shapiro-Wilk run."
"BT3","0","24h","mov_total","mov_total",0,NA,NA,"n < 3; Shapiro-Wilk not run."
"BT1","0.5","24h","mov_total","mov_total",15,0.955737786270523,0.618826948718464,"Shapiro-Wilk run."
"BT2","0.5","24h","mov_total","mov_total",15,0.6014671059105,2.62671219559725e-05,"Shapiro-Wilk run."
"BT3","0.5","24h","mov_total","mov_total",0,NA,NA,"n < 3; Shapiro-Wilk not run."
"BT1","1","24h","mov_total","mov_total",14,0.824490663680285,0.0101893530763976,"Shapiro-Wilk run."
"BT2","1","24h","mov_total","mov_total",12,0.817078880587897,0.014748331302488,"Shapiro-Wilk run."
"BT3","1","24h","mov_total","mov_total",0,NA,NA,"n < 3; Shapiro-Wilk not run."
"BT1","0","96h","mov_total","mov_total",16,0.543620699307624,4.98134148643308e-06,"Shapiro-Wilk run."
"BT2","0","96h","mov_total","mov_total",16,0.818785250006582,0.00489119623533603,"Shapiro-Wilk run."
"BT3","0","96h","mov_total","mov_total",0,NA,NA,"n < 3; Shapiro-Wilk not run."
"BT1","0.5","96h","mov_total","mov_total",16,0.942682966352608,0.383186876318941,"Shapiro-Wilk run."
"BT2","0.5","96h","mov_total","mov_total",16,0.915501046334093,0.142747855926103,"Shapiro-Wilk run."
"BT3","0.5","96h","mov_total","mov_total",0,NA,NA,"n < 3; Shapiro-Wilk not run."
"BT1","1","96h","mov_total","mov_total",14,0.815004655695045,0.00769791525840415,"Shapiro-Wilk run."
"BT2","1","96h","mov_total","mov_total",16,0.508057422362438,2.47349759295704e-06,"Shapiro-Wilk run."
"BT3","1","96h","mov_total","mov_total",0,NA,NA,"n < 3; Shapiro-Wilk not run."
"BT1","0","1h","mtpc","mtpc",14,0.467187300544982,3.31055202696097e-06,"Shapiro-Wilk run."
"BT2","0","1h","mtpc","mtpc",16,0.4083433071023,4.03620494818079e-07,"Shapiro-Wilk run."
"BT3","0","1h","mtpc","mtpc",0,NA,NA,"n < 3; Shapiro-Wilk not run."
"BT1","0.5","1h","mtpc","mtpc",16,0.339353185124005,1.28398860451404e-07,"Shapiro-Wilk run."
"BT2","0.5","1h","mtpc","mtpc",16,0.430151625777336,5.89859685609204e-07,"Shapiro-Wilk run."
"BT3","0.5","1h","mtpc","mtpc",0,NA,NA,"n < 3; Shapiro-Wilk not run."
"BT1","1","1h","mtpc","mtpc",16,0.530530744612087,3.83580929682638e-06,"Shapiro-Wilk run."
"BT2","1","1h","mtpc","mtpc",16,0.416003995751569,4.60698291300385e-07,"Shapiro-Wilk run."
"BT3","1","1h","mtpc","mtpc",0,NA,NA,"n < 3; Shapiro-Wilk not run."
"BT1","0","24h","mtpc","mtpc",15,0.428114411236759,9.7602960628057e-07,"Shapiro-Wilk run."
"BT2","0","24h","mtpc","mtpc",16,0.525117487381062,3.44723966846428e-06,"Shapiro-Wilk run."
"BT3","0","24h","mtpc","mtpc",0,NA,NA,"n < 3; Shapiro-Wilk not run."
"BT1","0.5","24h","mtpc","mtpc",15,0.623222000917549,4.19397036313871e-05,"Shapiro-Wilk run."
"BT2","0.5","24h","mtpc","mtpc",15,0.660430844698779,9.67359419934163e-05,"Shapiro-Wilk run."
"BT3","0.5","24h","mtpc","mtpc",0,NA,NA,"n < 3; Shapiro-Wilk not run."
"BT1","1","24h","mtpc","mtpc",14,0.356498895094656,5.3822553375505e-07,"Shapiro-Wilk run."
"BT2","1","24h","mtpc","mtpc",12,0.633913219755104,0.000208846411950482,"Shapiro-Wilk run."
"BT3","1","24h","mtpc","mtpc",0,NA,NA,"n < 3; Shapiro-Wilk not run."
"BT1","0","96h","mtpc","mtpc",16,0.558072562228188,6.68170844144571e-06,"Shapiro-Wilk run."
"BT2","0","96h","mtpc","mtpc",16,0.366578146869814,1.99862367156189e-07,"Shapiro-Wilk run."
"BT3","0","96h","mtpc","mtpc",0,NA,NA,"n < 3; Shapiro-Wilk not run."
"BT1","0.5","96h","mtpc","mtpc",16,0.309995425845678,8.07101664496089e-08,"Shapiro-Wilk run."
"BT2","0.5","96h","mtpc","mtpc",16,0.530813451013257,3.85734224316026e-06,"Shapiro-Wilk run."
"BT3","0.5","96h","mtpc","mtpc",0,NA,NA,"n < 3; Shapiro-Wilk not run."
"BT1","1","96h","mtpc","mtpc",14,0.660091495456206,0.000146964425920085,"Shapiro-Wilk run."
"BT2","1","96h","mtpc","mtpc",15,0.714912930914596,0.000360438430489053,"Shapiro-Wilk run."
"BT3","1","96h","mtpc","mtpc",0,NA,NA,"n < 3; Shapiro-Wilk not run."
"BT1","0","1h","num_changes","num_changes",14,0.953141666630097,0.61045895469373,"Shapiro-Wilk run."
"BT2","0","1h","num_changes","num_changes",16,0.926448190140326,0.21404364846765,"Shapiro-Wilk run."
"BT3","0","1h","num_changes","num_changes",0,NA,NA,"n < 3; Shapiro-Wilk not run."
"BT1","0.5","1h","num_changes","num_changes",16,0.916512396914902,0.148210558824637,"Shapiro-Wilk run."
"BT2","0.5","1h","num_changes","num_changes",16,0.928055590085192,0.227054948099845,"Shapiro-Wilk run."
"BT3","0.5","1h","num_changes","num_changes",0,NA,NA,"n < 3; Shapiro-Wilk not run."
"BT1","1","1h","num_changes","num_changes",16,0.841698418563601,0.010308404612837,"Shapiro-Wilk run."
"BT2","1","1h","num_changes","num_changes",16,0.835309068387487,0.00834376101454902,"Shapiro-Wilk run."
"BT3","1","1h","num_changes","num_changes",0,NA,NA,"n < 3; Shapiro-Wilk not run."
"BT1","0","24h","num_changes","num_changes",15,0.928035553924928,0.25498821411124,"Shapiro-Wilk run."
"BT2","0","24h","num_changes","num_changes",16,0.923398291113948,0.191285846086889,"Shapiro-Wilk run."
"BT3","0","24h","num_changes","num_changes",0,NA,NA,"n < 3; Shapiro-Wilk not run."
"BT1","0.5","24h","num_changes","num_changes",15,0.889956363276767,0.066957348346398,"Shapiro-Wilk run."
"BT2","0.5","24h","num_changes","num_changes",15,0.774610314904778,0.00176815700223172,"Shapiro-Wilk run."
"BT3","0.5","24h","num_changes","num_changes",0,NA,NA,"n < 3; Shapiro-Wilk not run."
"BT1","1","24h","num_changes","num_changes",14,0.959095308268047,0.708165336351087,"Shapiro-Wilk run."
"BT2","1","24h","num_changes","num_changes",12,0.939481986007253,0.49139043422841,"Shapiro-Wilk run."
"BT3","1","24h","num_changes","num_changes",0,NA,NA,"n < 3; Shapiro-Wilk not run."
"BT1","0","96h","num_changes","num_changes",16,0.935592760734298,0.298482306166417,"Shapiro-Wilk run."
"BT2","0","96h","num_changes","num_changes",16,0.946988769749684,0.443536209870997,"Shapiro-Wilk run."
"BT3","0","96h","num_changes","num_changes",0,NA,NA,"n < 3; Shapiro-Wilk not run."
"BT1","0.5","96h","num_changes","num_changes",16,0.931584256615541,0.258268624425006,"Shapiro-Wilk run."
